InvoiceNo,InvoiceDate,StockCode,Quantity
536598,2017-01-01,21421,1
536598,2017-01-01,21422,2
536598,2017-01-01,22178,26
536599,2017-01-01,20749,2
536599,2017-01-01,21056,2
536600,2017-01-01,21730,2
536602,2017-01-01,21871,1
536602,2017-01-01,21071,1
536602,2017-01-01,21068,1
536602,2017-01-01,21730,1
536604,2017-01-01,22189,1
536605,2017-01-01,21364,1
536605,2017-01-01,22219,1
536605,2017-01-01,20966,60
536605,2017-01-01,22107,2
536605,2017-01-01,22109,1
536605,2017-01-01,21181,1
536605,2017-01-01,21042,1
536605,2017-01-01,22111,1
536605,2017-01-01,22271,1
536605,2017-01-01,22272,2
536605,2017-01-01,22273,1
536605,2017-01-01,22274,1
536605,2017-01-01,20963,1
536605,2017-01-01,21172,1
536607,2017-01-01,21754,1
536607,2017-01-01,21756,8
536607,2017-01-01,21481,1
536607,2017-01-01,22114,2
536607,2017-01-01,21955,25
536607,2017-01-01,21733,5
536609,2017-01-01,21871,2
536609,2017-01-01,21071,1
536609,2017-01-01,21068,2
536609,2017-01-01,21730,1
536611,2017-01-01,21790,2
536611,2017-01-01,21889,3
536611,2017-01-01,21915,1
536611,2017-01-01,21272,1
536612,2017-01-01,21871,2
536612,2017-01-01,21071,1
536612,2017-01-01,21068,1
536612,2017-01-01,21730,1
536613,2017-01-01,22149,1
536613,2017-01-01,22044,2
536613,2017-01-01,21790,1
536613,2017-01-01,21918,1
536613,2017-01-01,21791,1
536613,2017-01-01,22029,1
536613,2017-01-01,22037,2
536613,2017-01-01,21360,1
536615,2017-01-01,21754,1
536615,2017-01-01,22120,1
536616,2017-01-01,21137,3
536617,2017-01-01,21356,4
536617,2017-01-01,21354,1
536617,2017-01-01,22179,1
536617,2017-01-01,21125,2
536617,2017-01-01,20893,1
536617,2017-01-01,21743,1
536618,2017-01-01,20975,1
536618,2017-01-01,21592,1
536618,2017-01-01,22197,1
536618,2017-01-01,22198,1
536618,2017-01-01,21791,2
536618,2017-01-01,21914,4
536618,2017-01-01,21915,1
536620,2017-01-01,21215,1
536620,2017-01-01,21212,4
536620,2017-01-01,21977,1
536620,2017-01-01,21328,3
536620,2017-01-01,21058,1
536620,2017-01-01,21060,2
536620,2017-01-01,21061,1
536620,2017-01-01,21062,1
536620,2017-01-01,21719,35
536620,2017-01-01,21722,1
536620,2017-01-01,21724,1
536620,2017-01-01,21883,2
536620,2017-01-01,21881,1
536620,2017-01-01,21880,5
536621,2017-01-01,10135,1
536621,2017-01-01,21790,1
536621,2017-01-01,21791,1
536623,2017-01-01,21355,1
536623,2017-01-01,21756,3
536623,2017-01-01,21518,1
536623,2017-01-01,21520,1
536623,2017-01-01,21506,1
536623,2017-01-01,22023,40
536623,2017-01-01,21519,1
536623,2017-01-01,22037,1
536623,2017-01-01,22029,1
536623,2017-01-01,22030,1
536623,2017-01-01,22027,5
536623,2017-01-01,22028,1
536623,2017-01-01,21670,1
536623,2017-01-01,21669,1
536623,2017-01-01,21671,1
536623,2017-01-01,21673,1
536623,2017-01-01,21672,1
536623,2017-01-01,22245,5
536623,2017-01-01,21068,1
536623,2017-01-01,21069,1
536623,2017-01-01,21070,1
536623,2017-01-01,21071,2
536624,2017-01-01,22109,1
536624,2017-01-01,20914,1
536624,2017-01-01,21212,1
536624,2017-01-01,21843,1
536624,2017-01-01,21588,1
536624,2017-01-01,21584,1
536624,2017-01-01,21914,18
536624,2017-01-01,21915,25
536627,2017-01-01,21756,50
536627,2017-01-01,21755,1
536628,2017-01-01,21871,2
536628,2017-01-01,21071,1
536628,2017-01-01,21068,1
536628,2017-01-01,21730,2
536630,2017-01-01,21871,1
536630,2017-01-01,21071,2
536630,2017-01-01,21068,2
536630,2017-01-01,21730,2
536632,2017-01-01,21931,1
536632,2017-01-01,21875,1
536632,2017-01-01,21479,1
536632,2017-01-01,21484,2
536632,2017-01-01,21485,1
536632,2017-01-01,22111,1
536632,2017-01-01,21843,30
536632,2017-01-01,21217,1
536633,2017-01-01,22301,2
536633,2017-01-01,22086,10
536634,2017-01-01,20674,1
536634,2017-01-01,20676,30
536634,2017-01-01,20727,1
536634,2017-01-01,21181,1
536634,2017-01-01,21967,1
536634,2017-01-01,22170,1
536634,2017-01-01,21210,1
536634,2017-01-01,21679,20
536634,2017-01-01,22094,5
536634,2017-01-01,21080,1
536635,2017-01-01,21429,91
536635,2017-01-01,21428,6
536635,2017-01-01,21877,1
536635,2017-01-01,21870,21
536635,2017-01-01,21868,1
536635,2017-01-01,21181,1
536635,2017-01-01,21754,3
536635,2017-01-01,22114,1
536635,2017-01-01,22112,1
536636,2017-01-01,22086,1
536637,2017-01-01,22198,1
536637,2017-01-01,22130,1
536637,2017-01-01,20733,1
536637,2017-01-01,20733,1
536637,2017-01-01,21212,1
536637,2017-01-01,16046,1
536637,2017-01-01,21914,1
536637,2017-01-01,22197,1
536637,2017-01-01,22196,3
536637,2017-01-01,21154,1
536637,2017-01-01,22195,1
536637,2017-01-01,21154,3
536637,2017-01-01,21328,1
536637,2017-01-01,21326,1
536637,2017-01-01,22130,1
536637,2017-01-01,20878,2
536637,2017-01-01,20878,4
536637,2017-01-01,20967,1
536637,2017-01-01,21098,5
536638,2017-01-01,20992,1
536638,2017-01-01,22113,2
536638,2017-01-01,22111,1
536638,2017-01-01,21430,1
536638,2017-01-01,21429,1
536638,2017-01-01,21313,2
536638,2017-01-01,21108,1
536638,2017-01-01,22090,1
536638,2017-01-01,22071,2
536638,2017-01-01,22070,1
536638,2017-01-01,21216,2
536638,2017-01-01,20983,1
536638,2017-01-01,20975,1
536638,2017-01-01,20750,1
536638,2017-01-01,21041,1
536638,2017-01-01,21537,1
536638,2017-01-01,21533,1
536638,2017-01-01,21527,3
536638,2017-01-01,21538,1
536638,2017-01-01,22131,1
536638,2017-01-01,21163,1
536638,2017-01-01,21158,1
536638,2017-01-01,21161,1
536638,2017-01-01,21159,1
536638,2017-01-01,22212,2
536638,2017-01-01,22188,1
536638,2017-01-01,21390,51
536638,2017-01-01,22297,2
536638,2017-01-01,22285,3
536638,2017-01-01,22284,1
536638,2017-01-01,21383,1
536638,2017-01-01,21381,1
536638,2017-01-01,21380,1
536638,2017-01-01,22210,1
536638,2017-01-01,22209,5
536638,2017-01-01,22208,71
536638,2017-01-01,20974,14
536638,2017-01-01,20982,25
536639,2017-01-01,21872,2
536639,2017-01-01,21888,1
536639,2017-01-01,22112,1
536639,2017-01-01,22090,1
536639,2017-01-01,21042,1
536640,2017-01-01,21914,1
536640,2017-01-01,20754,1
536641,2017-01-01,22187,1
536643,2017-01-01,21870,25
536643,2017-01-01,20723,1
536643,2017-01-01,20967,1
536643,2017-01-01,20969,1
536643,2017-01-01,20970,1
536643,2017-01-01,21479,1
536643,2017-01-01,22112,1
536643,2017-01-01,22110,1
536667,2017-01-01,21217,1
536667,2017-01-01,22086,1
536667,2017-01-01,21741,1
536667,2017-01-01,21738,2
536667,2017-01-01,21739,1
536671,2017-01-01,21385,2
536672,2017-01-01,20749,2
536672,2017-01-01,21288,25
536673,2017-01-01,21014,1
536673,2017-01-01,21803,2
536673,2017-01-01,21801,1
536673,2017-01-01,21791,1
536674,2017-01-01,21034,1
536674,2017-01-01,22202,5
536674,2017-01-01,21064,1
536674,2017-01-01,21364,1
536674,2017-01-01,22131,1
536674,2017-01-01,22195,1
536674,2017-01-01,16235,1
536674,2017-01-01,21161,10
536674,2017-01-01,20986,1
536674,2017-01-01,20832,1
536676,2017-01-01,22168,2
536676,2017-01-01,21563,1
536676,2017-01-01,21769,1
536681,2017-01-01,22294,3
536681,2017-01-01,22295,1
536681,2017-01-01,21586,2
536681,2017-01-01,21584,1
536681,2017-01-01,21588,1
536685,2017-01-01,21730,1
536685,2017-01-01,21871,1
536685,2017-01-01,21071,2
536685,2017-01-01,21068,1
536690,2017-01-01,21871,20
536690,2017-01-01,21071,1
536690,2017-01-01,21068,1
536690,2017-01-01,21730,2
536698,2017-01-01,21731,2
536698,2017-01-01,21913,2
536698,2017-01-01,21790,1
536698,2017-01-01,21743,2
536698,2017-01-01,20798,2
536698,2017-01-01,21249,5
536698,2017-01-01,21561,1
536707,2017-01-01,21218,1
536707,2017-01-01,21217,1
536707,2017-01-01,21843,3
536707,2017-01-01,22215,1
536732,2017-01-01,21238,2
536732,2017-01-01,20674,19
536732,2017-01-01,20675,2
536732,2017-01-01,21239,5
536732,2017-01-01,21244,1
536732,2017-01-01,21245,1
536732,2017-01-01,21679,1
536732,2017-01-01,21479,4
536732,2017-01-01,21213,1
536732,2017-01-01,21207,1
536732,2017-01-01,21987,1
536732,2017-01-01,21988,1
536732,2017-01-01,21989,2
536732,2017-01-01,22086,2
536732,2017-01-01,21080,1
536732,2017-01-01,21086,3
536732,2017-01-01,21094,1
536732,2017-01-01,21212,1
536733,2017-01-01,21206,1
536733,2017-01-01,20974,1
536733,2017-01-01,21094,1
536733,2017-01-01,21080,2
536733,2017-01-01,21086,1
536733,2017-01-01,20914,10
536733,2017-01-01,20975,3
536733,2017-01-01,20677,1
536733,2017-01-01,22083,1
536736,2017-01-01,21703,13
536736,2017-01-01,21790,1
536736,2017-01-01,21791,1
536738,2017-01-01,21843,1
536738,2017-01-01,21217,1
536738,2017-01-01,20914,1
536739,2017-01-01,22120,1
536739,2017-01-01,21843,3
536739,2017-01-01,20750,1
536739,2017-01-01,21784,1
536739,2017-01-01,21527,4
536739,2017-01-01,21844,1
536740,2017-01-01,21217,3
536741,2017-01-01,17090,1
536741,2017-01-01,17090,82
536741,2017-01-01,22077,1
536741,2017-01-01,22075,1
536741,2017-01-01,22144,20
536742,2017-01-01,21472,1
536742,2017-01-01,22196,1
536742,2017-01-01,22086,1
536742,2017-01-01,20978,1
536742,2017-01-01,21833,1
536742,2017-01-01,10124,2
536742,2017-01-01,21931,1
536742,2017-01-01,21922,1
536742,2017-01-01,21584,1
536742,2017-01-01,22312,1
536742,2017-01-01,21213,1
536742,2017-01-01,21427,1
536742,2017-01-01,21504,1
536742,2017-01-01,22292,1
536742,2017-01-01,21211,1
536742,2017-01-01,20978,26
536742,2017-01-01,21974,1
536742,2017-01-01,20914,1
536742,2017-01-01,22311,1
536743,2017-01-01,22045,1
536743,2017-01-01,21914,1
536743,2017-01-01,21731,1
536743,2017-01-01,20984,1
536743,2017-01-01,21465,1
536743,2017-01-01,21470,1
536743,2017-01-01,16012,1
536743,2017-01-01,21918,1
536743,2017-01-01,21851,3
536743,2017-01-01,21849,75
536743,2017-01-01,21889,3
536743,2017-01-01,20828,1
536743,2017-01-01,21830,1
536743,2017-01-01,21623,1
536744,2017-01-01,21156,2
536744,2017-01-01,21625,1
536744,2017-01-01,21843,25
536745,2017-01-01,21430,8
536745,2017-01-01,20749,1
536745,2017-01-01,20750,1
536745,2017-01-01,22077,1
536745,2017-01-01,21428,3
536746,2017-01-01,21259,1
536746,2017-01-01,21258,1
536746,2017-01-01,22169,3
536746,2017-01-01,21587,10
536746,2017-01-01,22082,5
536747,2017-01-01,16156,1
536748,2017-01-01,22191,1
536749,2017-01-01,20975,1
536749,2017-01-01,22190,10
536749,2017-01-01,20894,3
536749,2017-01-01,21415,2
536749,2017-01-01,20679,1
536749,2017-01-01,21034,1
536749,2017-01-01,21415,1
536749,2017-01-01,21710,1
536749,2017-01-01,22174,1
536749,2017-01-01,21212,3
536749,2017-01-01,21416,62
536749,2017-01-01,21417,1
536749,2017-01-01,22174,2
536749,2017-01-01,20969,1
536749,2017-01-01,15056,1
536749,2017-01-01,21154,1
536749,2017-01-01,18097,1
536749,2017-01-01,18097,2
536749,2017-01-01,21415,1
536749,2017-01-01,20914,1
536749,2017-01-01,21429,1
536749,2017-01-01,22174,1
536749,2017-01-01,20967,1
536750,2017-01-01,15056,2
536750,2017-01-01,20679,1
536750,2017-01-01,21871,2
536750,2017-01-01,21071,2
536750,2017-01-01,21068,1
536750,2017-01-01,21730,1
536752,2017-01-01,15056,2
536752,2017-01-01,20679,1
536752,2017-01-01,21871,1
536752,2017-01-01,21071,1
536752,2017-01-01,21068,5
536752,2017-01-01,21730,1
536754,2017-01-01,21137,1
536754,2017-01-01,22296,3
536754,2017-01-01,21899,1
536754,2017-01-01,21911,1
536754,2017-01-01,21902,1
536754,2017-01-01,21901,1
536754,2017-01-01,21948,3
536754,2017-01-01,21949,1
536754,2017-01-01,20759,1
536754,2017-01-01,20760,2
536754,2017-01-01,20757,1
536754,2017-01-01,20755,1
536754,2017-01-01,20981,1
536754,2017-01-01,21544,4
536754,2017-01-01,22198,1
536754,2017-01-01,22197,4
536754,2017-01-01,20974,2
536754,2017-01-01,20967,1
536754,2017-01-01,22274,1
536754,2017-01-01,20971,1
536754,2017-01-01,22150,1
536754,2017-01-01,22147,10
536754,2017-01-01,22088,1
536754,2017-01-01,20727,1
536754,2017-01-01,20726,1
536755,2017-01-01,21992,1
536755,2017-01-01,21993,1
536755,2017-01-01,22109,2
536756,2017-01-01,21902,1
536756,2017-01-01,10002,1
536756,2017-01-01,22197,2
536756,2017-01-01,21349,1
536756,2017-01-01,22086,1
536756,2017-01-01,21488,1
536759,2017-01-01,22296,3
536759,2017-01-01,22183,1
536759,2017-01-01,21781,1
536759,2017-01-01,21745,1
536759,2017-01-01,21257,1
536759,2017-01-01,21844,1
536759,2017-01-01,20828,1
536761,2017-01-01,21116,1
536761,2017-01-01,21155,2
536761,2017-01-01,15060,1
536761,2017-01-01,21217,1
536761,2017-01-01,21232,1
536761,2017-01-01,21527,2
536762,2017-01-01,20972,1
536762,2017-01-01,21232,1
536762,2017-01-01,20971,2
536762,2017-01-01,20974,1
536762,2017-01-01,22174,1
536762,2017-01-01,21481,1
536762,2017-01-01,21700,4
536762,2017-01-01,22064,1
536763,2017-01-01,21733,2
536763,2017-01-01,20973,1
536763,2017-01-01,21801,1
536763,2017-01-01,21326,1
536763,2017-01-01,21313,5
536769,2017-01-01,20724,1
536769,2017-01-01,20725,1
536769,2017-01-01,21080,1
536769,2017-01-01,21210,1
536769,2017-01-01,21212,1
536769,2017-01-01,22083,1
536769,2017-01-01,22084,1
536769,2017-01-01,22086,1
536769,2017-01-01,20727,1
536769,2017-01-01,22198,1
536769,2017-01-01,21735,1
536777,2017-01-01,20975,2
536777,2017-01-01,21500,2
536778,2017-01-01,21422,10
536778,2017-01-01,22147,1
536778,2017-01-01,20971,1
536778,2017-01-01,22149,1
536778,2017-01-01,20969,2
536778,2017-01-01,20970,1
536778,2017-01-01,20967,1
536778,2017-01-01,21257,1
536778,2017-01-01,21259,2
536778,2017-01-01,15036,30
536778,2017-01-01,21408,1
536780,2017-01-01,22114,1
536780,2017-01-01,21481,1
536782,2017-01-01,22111,30
536782,2017-01-01,22077,1
536782,2017-01-01,21258,1
536782,2017-01-01,20718,1
536782,2017-01-01,21527,1
536782,2017-01-01,21539,1
536782,2017-01-01,21533,1
536782,2017-01-01,22198,3
536782,2017-01-01,22197,1
536782,2017-01-01,21673,2
536782,2017-01-01,21672,1
